52119         10   ..                      68 67
52120         10   ..                      68 68
52121         2.   ..                       .  .
52122         10   ..                      76 76
52123         10   ..                      66 64
52124         10   ..                      66 65
52125         10   ..                      67 66
52126         10   ..                      83 82
52127         10   ..                      68 68
52128         2.   ..                       .  .
52129         10   ..                      68 67
52130         10   ..                      67 67
52131         10   ..                      80 79
52132         2.   ..                       .  .
52133         2.   ..                       .  .
52134         1100100                      72 71
52135         10   ..                      74 73
52136         2.   ..                       .  .
52137         10   ..                      67 66
52138         10   ..                      75 75
52139         2.   ..                       .  .
52140         10   ..                      66 66
52141         2.   ..                       .  .
52142         2.   ..                       .  .
52143         2.   ..                       .  .
52144         10   ..                      67 66
52145         10   ..                      68 67
52146         10   ..                      67 66
52147         2.   ..                       .  .
52148         10   ..                      68 67
52149         10   ..                      77 76
52150         2.   ..                       .  .
52151         10   ..                      76 76
52152         10   ..                      65 63
52153         10   ..                      75 75
52154         10   ..                      63 63
52155         2.   ..                       .  .
52156         2.   ..                       .  .
52157         10   ..                      82 81
52158         2.   ..                       .  .
52159         10   ..                      68 67
52160         10   ..                      70 69
52161         10   ..                      73 73
52162         10   ..                      64 64
52163         2.   ..                       .  .
52164         10   ..                      80 80
52165         2.   ..                       .  .
52166         10   ..                      84 83
52167         10   ..                      74 73
52168         10   ..                      67 66
52169         2.   ..                       .  .
52170         2.   ..                       .  .
52171         2.   ..                       .  .
52172         10   ..                      77 76
52173         10   ..                      66 65
52174         1101000                      57 56
52175         10   ..                      78 76
52176         2.   ..                       .  .
52177         2.   ..                       .  .
52178         2.   ..                       .  .
52179         10   ..                      80 80
52180         10   ..                      77 76
52181         10   ..                      67 66
52182         10   ..                      84 84
52183         10   ..                      62 62
52184         10   ..                      65 63
52185         10   ..                      63 62
52186         2.   ..                       .  .
52187         10   ..                      77 75
52188         1101001                      11 10
52189         2.   ..                       .  .
52190         10   ..                      61 61
52191         10   ..                      83 83
52192         10   ..                      75 75
52193         10   ..                      68 67
52194         2.   ..                       .  .
52195         10   ..                      69 68
52196         2.   ..                       .  .
52197         10   ..                      68 67
52198         10   ..                      64 64
52199         2.   ..                       .  .
52200         2.   ..                       .  .
52201         10   ..                      67 66
52202         10   ..                      70 69
52203         1101000                      67 66
52204         10   ..                      76 75
52205         10   ..                      65 64
52206         10   ..                      61 60
52207         10   ..                      65 64
52208         10   ..                      66 65
52209         2.   ..                       .  .
52210         2.   ..                       .  .
52211         10   ..                      76  .
52212         10   ..                      65 63
52213         10   ..                      79 78
52214         10   ..                      64 63
52215         10   ..                      76 75
52216         10   ..                      74 74
52217         10   ..                      61 60
52218         2.   ..                       .  .
52219         2.   ..                       .  .
52220         2.   ..                       .  .
52221         10   ..                      71 71
52222         10   ..                      80 78
52223         10   ..                      68 68
52224         2.   ..                       .  .
52225         2.   ..                       .  .
52226         10   ..                      67 66
52227         10   ..                      69 69
52228         2.   ..                       .  .
52229         10   ..                      80 79
52230         2.   ..                       .  .
52231         10   ..                      82 80
52232         10   ..                      64 63
52233         10   ..                      66 65
52234         10   ..                      68 67
52235         10   ..                      73 73
52236         2.   ..                       .  .
52237         2.   ..                       .  .
52238         2.   ..                       .  .
52239         2.   ..                       .  .
52240         2.   ..                       .  .
52241         10   ..                      79 78
52242         1101000                       9  9
52243         10   ..                      69 68
52244         10   ..                      61 60
52245         10   ..                      83 83
52246         2.   ..                       .  .
52247         10   ..                      73 73
52248         1101000                      40 38
52249         10   ..                      65 65
52250         10   ..                      77 76
52251         10   ..                      82 82
52252         2.   ..                       .  .
52253         10   ..                      71 70
