42024         10   ..                      93 93
42025         10   ..                      87 87
42026         10   ..                      88 87
42027         2.   ..                       .  .
42028         10   ..                      92 91
42029         10   ..                     100 99
42030         10   ..                      99 99
42031         2.   ..                       .  .
42032         2.   ..                       .  .
42033         1101000                      81 80
42034         10   ..                      88 87
42035         10   ..                     103102
42036         2.   ..                       .  .
42037         1100200                      33 32
42038         2.   ..                       .  .
42039         2.   ..                       .  .
42040         10   ..                     104103
42041         1100200                      45 44
42042         1100100                      67 66
42043         10   ..                     104103
42044         2.   ..                       .  .
42045         10   ..                      89 88
42046         2.   ..                       .  .
42047         10   ..                     100100
42048         10   ..                      87 86
42049         10   ..                     107106
42050         10   ..                      89 88
42051         2.   ..                       .  .
42052         10   ..                      93 93
42053         10   ..                      97 95
42054         2.   ..                       .  .
42055         10   ..                      88 87
42056         10   ..                     107106
42057         10   ..                      93 92
42058         10   ..                     101101
42059         10   ..                      88 87
42060         2.   ..                       .  .
42061         10   ..                      86 85
42062         10   ..                      93 92
42063         2.   ..                       .  .
42064         10   ..                      89 88
42065         10   ..                      85 84
42066         10   ..                      96 94
42067         10   ..                      97 95
42068         2.   ..                       .  .
42069         10   ..                      97 96
42070         2.   ..                       .  .
42071         10   ..                      99 98
42072         10   ..                      99 97
42073         10   ..                      96 96
42074         10   ..                     103102
42075         10   ..                      94 93
42076         2.   ..                       .  .
42077         10   ..                      95 94
42078         2.   ..                       .  .
42079         1100100                      36 35
42080         2.   ..                       .  .
42081         10   ..                      97 95
42082         10   ..                     105104
42083         10   ..                      94 93
42084         2.   ..                       .  .
42085         10   ..                      97 97
42086         2.   ..                       .  .
42087         10   ..                      89 88
42088         2.   ..                       .  .
42089         2.   ..                       .  .
42090         2.   ..                       .  .
42091         10   ..                     101100
42092         2.   ..                       .  .
42093         2.   ..                       .  .
42094         10   ..                     104103
42095         2.   ..                       .  .
42096         10   ..                      89 88
42097         2.   ..                       .  .
42098         2.   ..                       .  .
42099         10   ..                      99 98
42100         10   ..                      87 86
42101         2.   ..                       .  .
42102         10   ..                      90 90
42103         10   ..                      99 99
42104         10   ..                      86 85
42105         2.   ..                       .  .
42106         10   ..                      97 97
42107         10   ..                      89 88
42108         10   ..                     100 99
42109         10   ..                      91 91
42110         10   ..                      86 86
42111         10   ..                     101100
42112         2.   ..                       .  .
42113         2.   ..                       .  .
42114         2.   ..                       .  .
42115         2.   ..                       .  .
42116         2.   ..                       .  .
42117         2.   ..                       .  .
42118         10   ..                     100100
42119         10   ..                      93 92
42120         10   ..                      91 90
42121         2.   ..                       .  .
42122         2.   ..                       .  .
42123         10   ..                      89 88
42124         10   ..                      96 95
42125         1101000                      20 20
42126         10   ..                      99 98
42127         10   ..                     102101
42128         2.   ..                       .  .
42129         2.   ..                       .  .
42130         10   ..                     100 99
42131         10   ..                      91 90
42132         10   ..                      92 91
42133         10   ..                     106106
42134         1101000                      99 99
42135         10   ..                      88 87
42136         2.   ..                       .  .
42137         10   ..                      87 85
42138         10   ..                      97 96
42139         10   ..                      87 87
42140         2.   ..                       .  .
42141         2.   ..                       .  .
42142         2.   ..                       .  .
42143         10   ..                      94 93
42144         10   ..                      89 88
42145         2.   ..                       .  .
42146         10   ..                      92 91
42147         10   ..                      85 85
42148         2.   ..                       .  .
42149         2.   ..                       .  .
42150         2.   ..                       .  .
42151         10   ..                      92 92
42152         10   ..                     106105
42153         2.   ..                       .  .
42154         1101000                      91 90
42155         2.   ..                       .  .
42156         2.   ..                       .  .
42157         10   ..                      93 93
42158         2.   ..                       .  .
42159         10   ..                     104103
42160         10   ..                      92 92
42161         10   ..                     102102
42162         2.   ..                       .  .
42163         10   ..                     104103
42164         10   ..                     102101
42165         10   ..                      97 96
42166         10   ..                      95 94
42167         10   ..                     102101
42168         10   ..                     106105
42169         2.   ..                       .  .
42170         1101000                      58 57
42171         10   ..                      92 92
42172         10   ..                      90 90
42173         10   ..                     105105
42174         2.   ..                       .  .
42175         10   ..                      93 92
42176         2.   ..                       .  .
42177         10   ..                      91 90
42178         2.   ..                       .  .
42179         10   ..                      92 92
42180         10   ..                     104102
42181         10   ..                     101 99
42182         2.   ..                       .  .
42183         10   ..                      99 98
42184         2.   ..                       .  .
42185         10   ..                      99 97
42186         2.   ..                       .  .
42187         10   ..                      88 86
42188         2.   ..                       .  .
42189         10   ..                      89 89
42190         1101000                      87 86
42191         2.   ..                       .  .
42192         2.   ..                       .  .
42193         10   ..                      97 96
42194         2.   ..                       .  .
42195         2.   ..                       .  .
42196         2.   ..                       .  .
42197         10   ..                      89 88
42198         10   ..                      86 86
42199         10   ..                      90 89
42200         10   ..                      88 88
42201         10   ..                      90 89
42202         10   ..                      89 88
42203         2.   ..                       .  .
42204         2.   ..                       .  .
42205         2.   ..                       .  .
42206         10   ..                      85 84
42207         2.   ..                       .  .
42208         2.   ..                       .  .
42209         2.   ..                       .  .
42210         10   ..                      93 92
42211         10   ..                      99 98
42212         10   ..                      94 94
42213         2.   ..                       .  .
42214         2.   ..                       .  .
42215         10   ..                      87 87
42216         2.   ..                       .  .
42217         10   ..                      90 89
42218         2.   ..                       .  .
42219         10   ..                      94 93
42220         10   ..                     101100
42221         2.   ..                       .  .
42222         2.   ..                       .  .
42223         2.   ..                       .  .
42224         10   ..                     106105
42225         2.   ..                       .  .
42226         2.   ..                       .  .
42227         2.   ..                       .  .
42228         2.   ..                       .  .
42229         10   ..                      90 89
42230         2.   ..                       .  .
42231         2.   ..                       .  .
42232         10   ..                      87 87
42233         10   ..                     106  .
42234         10   ..                      93 92
42235         2.   ..                       .  .
42236         2.   ..                       .  .
42237         10   ..                      95 94
42238         10   ..                     103102
42239         10   ..                     103101
42240         10   ..                      98 98
42241         2.   ..                       .  .
42242         2.   ..                       .  .
42243         2.   ..                       .  .
42244         10   ..                      88 87
42245         2.   ..                       .  .
42246         10   ..                     103102
42247         2.   ..                       .  .
42248         10   ..                      96 95
42249         10   ..                     100100
42250         2.   ..                       .  .
42251         10   ..                      92 91
42252         10   ..                      97 96
42253         2.   ..                       .  .
42254         2.   ..                       .  .
42255         1100201                      54 53
42256         2.   ..                       .  .
42257         10   ..                      87 87
42258         2.   ..                       .  .
42259         10   ..                      88  .
42260         10   ..                      97 96
42261         2.   ..                       .  .
42262         10   ..                     104103
42263         10   ..                      94 92
42264         2.   ..                       .  .
42265         10   ..                     100 98
42266         2.   ..                       .  .
42267         10   ..                      92 91
42268         10   ..                     107107
42269         10   ..                     104103
42270         2.   ..                       .  .
42271         2.   ..                       .  .
42272         2.   ..                       .  .
42273         10   ..                      86 85
42274         3.   ..                       .  .
42275         10   ..                      90 89
42276         1100100                      14 12
42277         2.   ..                       .  .
42278         2.   ..                       .  .
42279         2.   ..                       .  .
42280         10   ..                      97 96
42281         10   ..                      92 91
42282         2.   ..                       .  .
42283         10   ..                      87 86
42284         10   ..                      98 97
42285         10   ..                      91 89
42286         2.   ..                       .  .
42287         10   ..                      96 96
42288         10   ..                      88 88
42289         2.   ..                       .  .
42290         2.   ..                       .  .
42291         10   ..                     105105
42292         10   ..                      97 96
42293         2.   ..                       .  .
42294         10   ..                      92 91
42295         10   ..                      88 88
42296         1100100                      59 58
42297         1100200                      77 76
42298         10   ..                     102100
42299         10   ..                     104103
42300         10   ..                      86 85
42301         2.   ..                       .  .
42302         2.   ..                       .  .
42303         2.   ..                       .  .
42304         10   ..                     101100
42305         2.   ..                       .  .
42306         2.   ..                       .  .
42307         10   ..                      98 97
42308         10   ..                     107107
42309         10   ..                     109108
42310         10   ..                     100 98
42311         1101000                      85 84
42312         10   ..                      89 88
42313         2.   ..                       .  .
42314         2.   ..                       .  .
42315         10   ..                      99 98
42316         1101000                       6  .
42317         2.   ..                       .  .
42318         10   ..                      93 92
42319         10   ..                      99 97
42320         2.   ..                       .  .
42321         10   ..                     104103
42322         2.   ..                       .  .
42323         2.   ..                       .  .
42324         2.   ..                       .  .
42325         2.   ..                       .  .
42326         2.   ..                       .  .
42327         2.   ..                       .  .
42328         10   ..                      97 96
42329         1100100                      46 45
42330         1101000                      93 93
42331         10   ..                      85 85
42332         10   ..                      94 93
42333         10   ..                      97 97
42334         2.   ..                       .  .
42335         10   ..                      98 97
42336         2.   ..                       .  .
42337         2.   ..                       .  .
42338         10   ..                     106104
